,#agents,current step,#positives,#neutrals,#negatives,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,1,5,90,5,5,5,200,1,0,random,discussion,1500
0,100,2,5,90,5,5,5,200,1,0,random,discussion,1500
0,100,3,5,90,5,5,5,200,1,0,random,discussion,1500
0,100,4,5,90,5,5,5,200,1,0,random,discussion,1500
0,100,5,5,90,5,5,5,200,1,0,random,discussion,1500
0,100,6,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,7,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,8,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,9,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,10,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,11,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,12,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,13,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,14,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,15,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,16,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,17,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,18,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,19,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,20,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,21,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,22,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,23,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,24,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,25,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,26,5,89,6,5,5,200,1,0,random,discussion,1500
0,100,27,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,28,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,29,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,30,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,31,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,32,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,33,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,34,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,35,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,36,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,37,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,38,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,39,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,40,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,41,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,42,6,88,6,5,5,200,1,0,random,discussion,1500
0,100,43,6,87,7,5,5,200,1,0,random,discussion,1500
0,100,44,6,87,7,5,5,200,1,0,random,discussion,1500
0,100,45,6,87,7,5,5,200,1,0,random,discussion,1500
0,100,46,6,87,7,5,5,200,1,0,random,discussion,1500
0,100,47,6,87,7,5,5,200,1,0,random,discussion,1500
0,100,48,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,49,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,50,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,51,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,52,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,53,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,54,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,55,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,56,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,57,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,58,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,59,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,60,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,61,6,86,8,5,5,200,1,0,random,discussion,1500
0,100,62,6,85,9,5,5,200,1,0,random,discussion,1500
0,100,63,6,85,9,5,5,200,1,0,random,discussion,1500
0,100,64,6,85,9,5,5,200,1,0,random,discussion,1500
0,100,65,6,85,9,5,5,200,1,0,random,discussion,1500
0,100,66,6,85,9,5,5,200,1,0,random,discussion,1500
0,100,67,6,84,10,5,5,200,1,0,random,discussion,1500
0,100,68,6,83,11,5,5,200,1,0,random,discussion,1500
0,100,69,6,83,11,5,5,200,1,0,random,discussion,1500
0,100,70,6,83,11,5,5,200,1,0,random,discussion,1500
0,100,71,6,82,12,5,5,200,1,0,random,discussion,1500
0,100,72,6,82,12,5,5,200,1,0,random,discussion,1500
0,100,73,6,82,12,5,5,200,1,0,random,discussion,1500
0,100,74,6,82,12,5,5,200,1,0,random,discussion,1500
0,100,75,6,82,12,5,5,200,1,0,random,discussion,1500
0,100,76,6,82,12,5,5,200,1,0,random,discussion,1500
0,100,77,6,81,13,5,5,200,1,0,random,discussion,1500
0,100,78,6,81,13,5,5,200,1,0,random,discussion,1500
0,100,79,6,81,13,5,5,200,1,0,random,discussion,1500
0,100,80,6,81,13,5,5,200,1,0,random,discussion,1500
0,100,81,6,81,13,5,5,200,1,0,random,discussion,1500
0,100,82,6,81,13,5,5,200,1,0,random,discussion,1500
0,100,83,6,81,13,5,5,200,1,0,random,discussion,1500
0,100,84,6,80,14,5,5,200,1,0,random,discussion,1500
0,100,85,6,80,14,5,5,200,1,0,random,discussion,1500
0,100,86,6,80,14,5,5,200,1,0,random,discussion,1500
0,100,87,6,80,14,5,5,200,1,0,random,discussion,1500
0,100,88,6,80,14,5,5,200,1,0,random,discussion,1500
0,100,89,6,80,14,5,5,200,1,0,random,discussion,1500
0,100,90,6,80,14,5,5,200,1,0,random,discussion,1500
0,100,91,6,79,15,5,5,200,1,0,random,discussion,1500
0,100,92,6,79,15,5,5,200,1,0,random,discussion,1500
0,100,93,7,78,15,5,5,200,1,0,random,discussion,1500
0,100,94,7,78,15,5,5,200,1,0,random,discussion,1500
0,100,95,7,78,15,5,5,200,1,0,random,discussion,1500
0,100,96,7,78,15,5,5,200,1,0,random,discussion,1500
0,100,97,8,77,15,5,5,200,1,0,random,discussion,1500
0,100,98,8,77,15,5,5,200,1,0,random,discussion,1500
0,100,99,8,76,16,5,5,200,1,0,random,discussion,1500
0,100,100,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,101,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,102,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,103,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,104,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,105,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,106,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,107,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,108,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,109,8,75,17,5,5,200,1,0,random,discussion,1500
0,100,110,9,74,17,5,5,200,1,0,random,discussion,1500
0,100,111,9,74,17,5,5,200,1,0,random,discussion,1500
0,100,112,9,74,17,5,5,200,1,0,random,discussion,1500
0,100,113,9,74,17,5,5,200,1,0,random,discussion,1500
0,100,114,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,115,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,116,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,117,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,118,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,119,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,120,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,121,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,122,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,123,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,124,9,73,18,5,5,200,1,0,random,discussion,1500
0,100,125,9,72,19,5,5,200,1,0,random,discussion,1500
0,100,126,9,71,20,5,5,200,1,0,random,discussion,1500
0,100,127,9,71,20,5,5,200,1,0,random,discussion,1500
0,100,128,8,71,21,5,5,200,1,0,random,discussion,1500
0,100,129,8,71,21,5,5,200,1,0,random,discussion,1500
0,100,130,8,71,21,5,5,200,1,0,random,discussion,1500
0,100,131,8,70,22,5,5,200,1,0,random,discussion,1500
0,100,132,8,70,22,5,5,200,1,0,random,discussion,1500
0,100,133,8,70,22,5,5,200,1,0,random,discussion,1500
0,100,134,8,70,22,5,5,200,1,0,random,discussion,1500
0,100,135,8,70,22,5,5,200,1,0,random,discussion,1500
0,100,136,8,70,22,5,5,200,1,0,random,discussion,1500
0,100,137,9,69,22,5,5,200,1,0,random,discussion,1500
0,100,138,9,68,23,5,5,200,1,0,random,discussion,1500
0,100,139,9,68,23,5,5,200,1,0,random,discussion,1500
0,100,140,9,68,23,5,5,200,1,0,random,discussion,1500
0,100,141,9,68,23,5,5,200,1,0,random,discussion,1500
0,100,142,9,68,23,5,5,200,1,0,random,discussion,1500
0,100,143,9,68,23,5,5,200,1,0,random,discussion,1500
0,100,144,9,68,23,5,5,200,1,0,random,discussion,1500
0,100,145,9,67,24,5,5,200,1,0,random,discussion,1500
0,100,146,9,67,24,5,5,200,1,0,random,discussion,1500
0,100,147,10,66,24,5,5,200,1,0,random,discussion,1500
0,100,148,10,66,24,5,5,200,1,0,random,discussion,1500
0,100,149,10,66,24,5,5,200,1,0,random,discussion,1500
0,100,150,11,65,24,5,5,200,1,0,random,discussion,1500
0,100,151,11,65,24,5,5,200,1,0,random,discussion,1500
0,100,152,11,65,24,5,5,200,1,0,random,discussion,1500
0,100,153,11,65,24,5,5,200,1,0,random,discussion,1500
0,100,154,11,65,24,5,5,200,1,0,random,discussion,1500
0,100,155,11,65,24,5,5,200,1,0,random,discussion,1500
