,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,11,6,89,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,21,6,89,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,31,6,88,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,41,7,86,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,51,8,85,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,61,8,84,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,71,10,82,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,81,10,80,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,91,12,77,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,101,12,74,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,111,13,72,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,121,15,68,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,131,16,66,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,141,16,65,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,151,17,63,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,161,17,62,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,171,17,59,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,181,20,54,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,191,21,53,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,201,21,51,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,211,22,48,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,221,24,46,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,231,27,41,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,241,28,38,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,251,28,37,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,261,29,35,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,271,31,33,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,281,33,31,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,291,36,28,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,301,40,24,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,311,41,23,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,321,44,20,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,331,45,17,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,341,46,17,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,351,46,17,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,361,44,16,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,371,45,15,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,381,45,15,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,391,44,14,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,401,45,14,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,411,48,13,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,421,50,12,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,431,51,11,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,441,52,10,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,451,48,8,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,461,49,7,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,471,52,7,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,481,53,6,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,491,51,4,45,0,5,5,2970,1,0,CO,discussion,10000
0,100,501,51,2,47,0,5,5,2970,1,0,CO,discussion,10000
0,100,511,53,2,45,0,5,5,2970,1,0,CO,discussion,10000
0,100,521,53,1,46,0,5,5,2970,1,0,CO,discussion,10000
0,100,531,56,0,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,541,60,0,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,551,59,0,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,561,62,0,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,571,63,0,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,581,63,0,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,591,65,0,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,601,65,0,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,611,65,0,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,621,66,0,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,631,65,0,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,641,64,0,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,651,66,0,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,661,67,0,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,671,67,0,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,681,66,0,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,691,69,0,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,701,69,0,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,711,69,0,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,721,71,0,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,731,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,741,71,0,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,751,72,0,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,761,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,771,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,781,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,791,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,801,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,811,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,821,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
