,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,5,90,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,11,6,87,7,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,21,6,87,7,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,31,7,85,8,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,41,9,80,11,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,51,11,76,13,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,61,11,74,15,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,71,14,72,14,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,81,15,71,14,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,91,18,65,17,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,101,21,62,17,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,111,21,62,17,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,121,23,57,20,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,131,23,54,23,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,141,25,52,23,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,151,27,47,26,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,161,29,42,29,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,171,30,38,32,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,181,32,34,34,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,191,34,32,34,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,201,35,30,35,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,211,36,29,35,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,221,38,28,34,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,231,38,26,36,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,241,39,24,37,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,251,38,22,40,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,261,38,19,43,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,271,39,18,43,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,281,40,16,44,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,291,43,14,43,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,301,44,13,43,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,311,43,13,44,0,5,5,2970,1,0,CO,majority_opinion,10000
